ProductID,CategoryL1,CategoryL2,Tags,PopularityRank,PopularityScore,SavingAmount
P1,Beauty,Haircare,vegan friendly,22827,1.8975681351213164e-08,4.84
P2,Home & Kitchen,Decor,new arrival,2419,8.617463024766956e-07,3.0
P3,Fashion,Kids' Fashion,top rated,27558,1.377651349596392e-08,3.0
P4,Grocery,Pantry Staples,bestseller,20135,2.3487815518753942e-08,7.92
P5,Grocery,Organic Foods,heavy-duty,8541,1.0092426091508064e-07,3.0
P6,Electronics,Smart Home,"gift idea, top rated",10036,7.671977056214815e-08,3.0
P7,Fashion,Jewelry,"locally sourced, top rated, bestseller, easy to use, imported",18414,2.7340633225605474e-08,3.0
P8,Toys,Educational Toys,"locally sourced, heavy-duty",19184,2.5501388237168523e-08,3.0
P9,Beauty,Makeup,bestseller,23054,1.8659143893565894e-08,3.0
P10,Fashion,Jewelry,"durable, vintage style, for adults, handmade, easy to use",19560,2.4673647681481734e-08,3.0
P11,Fashion,Watches,"durable, wireless, gluten-free, gift idea",25092,1.61566170310841e-08,3.07
P12,Sports,Outdoor Equipment,"essential item, bestseller, easy to use",28831,1.275847903978697e-08,3.0
P13,Grocery,Beverages,"gift idea, vegan friendly, premium quality, modern design",11104,6.460190645504016e-08,3.0
P14,Automotive,Electronics for Cars,"eco-friendly, organic certified, essential item, locally sourced, heavy-duty",12529,5.2614144008266813e-08,6.91
P15,Home & Kitchen,Decor,"for kids, top rated",25183,1.6057491971382758e-08,5.49
P16,Grocery,Organic Foods,"organic certified, heavy-duty, wireless, locally sourced, premium quality",2987,6.020887692974719e-07,3.0
P17,Electronics,Accessories,"gift idea, vintage style",23784,1.769603959338981e-08,25.0
P18,Books,Non-Fiction,"vegan friendly, essential item, new arrival, lightweight",24211,1.716875359679439e-08,3.0
P19,Books,Children's Books,"heavy-duty, gluten-free, imported, for adults",5207,2.3407849839600664e-07,3.0
P20,Books,Mystery,"collectible, vegan friendly, essential item, smart device, limited edition",15660,3.6009278252439566e-08,3.52
P21,Home & Kitchen,Storage,"smart device, new arrival",1555,1.8264960449600183e-06,3.0
P22,Beauty,Fragrance,"collectible, budget-friendly, handmade",31,0.0014198600027229907,3.0
P23,Beauty,Fragrance,"vintage style, premium quality",22437,1.95398068018227e-08,23.74
P24,Grocery,Snacks,"premium quality, durable",2308,9.333822489794001e-07,5.69
P25,Beauty,Fragrance,customer favorite,27789,1.358239770784821e-08,3.0
P26,Books,Mystery,"wireless, premium quality",23430,1.815296265657257e-08,3.0
P27,Fashion,Watches,"on sale, for kids, imported, eco-friendly, locally sourced",24595,1.671555493297223e-08,4.11
P28,Fashion,Kids' Fashion,"handmade, wireless",13943,4.38687054110394e-08,4.91
P29,Toys,Board Games,limited edition,231,4.671109402299659e-05,3.0
P30,Toys,Dolls,customer favorite,28652,1.2894277206874716e-08,3.0
P31,Health,Personal Care,top rated,7567,1.2399096987065673e-07,3.0
P32,Toys,Remote Control,"lightweight, gift idea, collectible, essential item, premium quality",11840,5.79245289585484e-08,9.57
P33,Home & Kitchen,Lighting,"smart device, for kids, heavy-duty, wireless",24882,1.6389111847472492e-08,3.0
P34,Automotive,Accessories,budget-friendly,1619,1.7054569530402765e-06,15.13
P35,Fashion,Men's Apparel,budget-friendly,11872,5.765935705467168e-08,3.0
P36,Books,Fiction,"lightweight, gluten-free, organic certified, gift idea, limited edition",6127,1.775166151611969e-07,6.16
P37,Fashion,Footwear,"for kids, limited edition, essential item",22220,1.9865317564716348e-08,3.0
P38,Sports,Fitness Gear,"on sale, essential item, smart device, bestseller, new arrival",24838,1.6438498493530504e-08,5.07
P39,Home & Kitchen,Appliances,"handmade, wireless, modern design, premium quality, on sale",20645,2.2509979350399155e-08,15.07
P40,Toys,Dolls,smart device,29908,1.198731375042458e-08,3.0
P41,Books,Fiction,locally sourced,14011,4.350737475309226e-08,3.0
P42,Health,Vitamins,"heavy-duty, vegan friendly, premium quality, for adults",12694,5.14568225503294e-08,3.0
P43,Sports,Outdoor Equipment,"on sale, modern design, imported",9987,7.736077646249183e-08,3.0
P44,Toys,Puzzles,"vegan friendly, new arrival, organic certified, eco-friendly, modern design",12594,5.2153340829782254e-08,3.9
P45,Electronics,Laptops,organic certified,10186,7.480905397145211e-08,25.0
P46,Automotive,Accessories,"new arrival, wireless, imported, premium quality",18231,2.780882057783838e-08,16.11
P47,Sports,Team Sports Gear,"wireless, bestseller, essential item, premium quality, for kids",7150,1.365337862128764e-07,3.0
P48,Home & Kitchen,Storage,"smart device, organic certified",18230,2.781141388023091e-08,3.0
P49,Electronics,Wearables,"smart device, heavy-duty, wireless",28900,1.2706737908336106e-08,3.0
P50,Toys,Action Figures,"imported, easy to use, collectible",23437,1.8143746559241875e-08,3.0
P51,Sports,Outdoor Equipment,"bestseller, budget-friendly, wireless",27940,1.34578449938756e-08,3.0
